2	1789282081.848447009	127.0.0.1	80	127.0.0.1	10980	0x0012
3	1789282081.848452677	127.0.0.1	10980	127.0.0.1	80	0x0004
5	1789282081.849039344	127.0.0.1	80	127.0.0.1	12538	0x0012
6	1789282081.849043052	127.0.0.1	12538	127.0.0.1	80	0x0004
8	1789282081.849465630	127.0.0.1	80	127.0.0.1	16211	0x0012
9	1789282081.849468771	127.0.0.1	16211	127.0.0.1	80	0x0004
11	1789282081.849874177	127.0.0.1	80	127.0.0.1	15770	0x0012
12	1789282081.849877239	127.0.0.1	15770	127.0.0.1	80	0x0004
